,red,green,blue
0,0.0,261850.0,294.0
1,26184.0,234295.0,1665.0
2,39230.0,222914.0,0.0
3,43244.0,214675.0,4225.0
4,0.0,3230.0,258914.0
5,0.0,12149.0,249995.0
6,69967.0,192177.0,0.0
7,22338.0,234212.0,5594.0
8,25401.0,236743.0,0.0
9,2774.0,259370.0,0.0
10,55389.0,206755.0,0.0
11,0.0,262144.0,0.0
12,0.0,95659.0,166485.0
13,0.0,262144.0,0.0
14,242580.0,17955.0,1609.0
15,907.0,261237.0,0.0
16,13291.0,245491.0,3362.0
17,14615.0,244290.0,3239.0
18,47709.0,211680.0,2755.0
19,105398.0,153143.0,3603.0
20,41842.0,220302.0,0.0
21,106673.0,151291.0,4180.0
22,122531.0,139613.0,0.0
23,16927.0,143473.0,101744.0
24,1553.0,260008.0,581.0
25,0.0,262144.0,0.0
26,0.0,9788.0,252356.0
27,0.0,262144.0,0.0
28,94686.0,158577.0,8881.0
29,0.0,262144.0,0.0
30,31196.0,230948.0,0.0
31,45348.0,211836.0,4960.0
32,27252.0,234892.0,0.0
33,49524.0,211086.0,1534.0
34,0.0,262144.0,0.0
35,2462.0,258453.0,1229.0
36,7394.0,253863.0,887.0
37,12356.0,249520.0,268.0
38,67449.0,190076.0,4619.0
39,17320.0,244360.0,464.0
40,5393.0,254084.0,2667.0
41,28920.0,233224.0,0.0
42,58167.0,203077.0,900.0
43,0.0,262144.0,0.0
44,0.0,262144.0,0.0
45,8182.0,253940.0,0.0
46,1566.0,260578.0,0.0
47,26602.0,235542.0,0.0
48,575.0,251404.0,10165.0
49,47369.0,213560.0,1215.0
50,5367.0,256130.0,647.0
51,0.0,22904.0,239240.0
52,0.0,262144.0,0.0
53,115279.0,141181.0,5684.0
54,16959.0,239929.0,5256.0
55,108744.0,151537.0,1863.0
56,25895.0,231241.0,5008.0
57,0.0,262144.0,0.0
58,71152.0,190992.0,0.0
59,29587.0,232557.0,0.0
60,13974.0,248170.0,0.0
61,7233.0,254911.0,0.0
62,13498.0,245408.0,3238.0
63,0.0,262144.0,0.0
64,0.0,47106.0,215038.0
65,23854.0,234315.0,3975.0
66,36686.0,225458.0,0.0
67,0.0,262144.0,0.0
68,0.0,262144.0,0.0
69,1856.0,166840.0,93448.0
70,23204.0,238940.0,0.0
71,14075.0,248069.0,0.0
72,0.0,262144.0,0.0
73,122249.0,139895.0,0.0
74,0.0,3553.0,258591.0
75,21685.0,240459.0,0.0
76,28186.0,233958.0,0.0
77,0.0,262144.0,0.0
78,37993.0,223733.0,418.0
79,32132.0,223512.0,6499.0
80,33503.0,226991.0,1650.0
81,16960.0,245184.0,0.0
82,4681.0,254038.0,3425.0
83,0.0,262144.0,0.0
84,20824.0,229209.0,12111.0
85,70629.0,185932.0,5583.0
86,0.0,199134.0,63010.0
87,37786.0,220261.0,4097.0
88,160177.0,89496.0,12471.0
89,0.0,262144.0,0.0
90,6131.0,256013.0,0.0
91,82402.0,178021.0,1721.0
92,83562.0,178582.0,0.0
93,0.0,262144.0,0.0
94,0.0,25961.0,236183.0
95,23805.0,234743.0,3596.0
96,23612.0,238532.0,0.0
97,31937.0,230207.0,0.0
98,38734.0,223410.0,0.0
99,73375.0,180455.0,8314.0
100,30793.0,231351.0,0.0
101,0.0,3545.0,258599.0
102,0.0,262144.0,0.0
103,28873.0,232573.0,698.0
104,3805.0,258339.0,0.0
105,8288.0,253856.0,0.0
106,16425.0,245719.0,0.0
107,17685.0,244458.0,0.0
108,0.0,262144.0,0.0
109,46745.0,215399.0,0.0
110,96755.0,162473.0,2916.0
111,0.0,66805.0,195339.0
112,34624.0,220298.0,7222.0
113,162474.0,95296.0,4374.0
114,45979.0,216165.0,0.0
115,15870.0,245664.0,610.0
116,0.0,200946.0,61198.0
117,0.0,94928.0,167216.0
118,1323.0,260821.0,0.0
119,6605.0,255539.0,0.0
120,10786.0,251358.0,0.0
121,37183.0,224961.0,0.0
122,46771.0,215373.0,0.0
123,3904.0,258240.0,0.0
124,7929.0,254215.0,0.0
125,0.0,262144.0,0.0
126,69294.0,192850.0,0.0
127,0.0,19695.0,242449.0
128,62771.0,194247.0,5126.0
129,17819.0,202677.0,41648.0
130,37630.0,224513.0,0.0
131,49005.0,213139.0,0.0
132,63915.0,194695.0,3534.0
133,0.0,31069.0,231075.0
134,0.0,121999.0,140145.0
135,0.0,262144.0,0.0
136,0.0,115038.0,147106.0
137,27554.0,234590.0,0.0
138,93403.0,163343.0,5398.0
139,18908.0,243236.0,0.0
140,36863.0,224307.0,974.0
141,65389.0,193337.0,3418.0
142,0.0,262144.0,0.0
143,0.0,207614.0,54530.0
144,15302.0,244552.0,2290.0
145,0.0,262144.0,0.0
146,0.0,262144.0,0.0
147,14367.0,247777.0,0.0
148,37389.0,224755.0,0.0
149,5011.0,257133.0,0.0
150,0.0,262144.0,0.0
151,4377.0,256874.0,893.0
152,40201.0,221943.0,0.0
153,0.0,121968.0,140176.0
154,0.0,28942.0,233202.0
155,28535.0,233609.0,0.0
156,71078.0,186213.0,4853.0
